CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,CAMPUS_NO,
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,1,46,COMMUNITY SERVICE,[01:00-02:00  9999 Friday],
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,2,46,COMMUNITY SERVICE,[22:00-23:00  9999 Friday],
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,3,46,COMMUNITY SERVICE,[22:30-23:30  9999 Saturday],
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,4,46,COMMUNITY SERVICE,[08:00-09:00  9999 Friday],
1,11110,COMMUNITY SERVICE,0,1,Bachelor,1,Lecture,5,46,COMMUNITY SERVICE,[08:00-09:00  9999 Saturday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,2,47,LANGUAGE CENTER,[13:30-14:20 DAR B109 Sunday Tuesday Thursday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,4,47,LANGUAGE CENTER,[13:30-14:20 DAR B110 Sunday Tuesday Thursday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,5,47,LANGUAGE CENTER,[08:30-09:20 DAR 107 Sunday Tuesday Thursday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,8,47,LANGUAGE CENTER,[13:30-14:20 DAR B102 Sunday Tuesday Thursday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,9,47,LANGUAGE CENTER,[11:30-12:20 DAR B102 Sunday Tuesday Thursday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,14,47,LANGUAGE CENTER,[11:30-12:45 DAR B103 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,17,47,LANGUAGE CENTER,[13:00-14:15 DAR B109 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,19,47,LANGUAGE CENTER,[14:30-15:45 DAR B113 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,20,47,LANGUAGE CENTER,[13:00-14:15 DAR B103 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,23,47,LANGUAGE CENTER,[09:30-10:20 DAR B102 Sunday Tuesday Thursday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,26,47,LANGUAGE CENTER,[10:00-11:15 AFS 127 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,29,47,LANGUAGE CENTER,[10:00-11:15 DAR B101 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,30,47,LANGUAGE CENTER,[11:30-12:45 DAR B109 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,31,47,LANGUAGE CENTER,[11:30-12:45 DAR B205 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,32,47,LANGUAGE CENTER,[10:00-11:15 DAR B113 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,33,47,LANGUAGE CENTER,[08:30-09:45 DAR B101 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,34,47,LANGUAGE CENTER,[10:30-11:20 DAR B101 Sunday Tuesday Thursday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,35,47,LANGUAGE CENTER,[10:30-11:20 DAR B109 Sunday Tuesday Thursday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,36,47,LANGUAGE CENTER,[09:30-10:20 DAR B110 Sunday Tuesday Thursday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,38,47,LANGUAGE CENTER,[14:30-15:45 DAR 132 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,40,47,LANGUAGE CENTER,[14:30-15:45 DAR B109 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,51,47,LANGUAGE CENTER,[08:30-09:45 DAR B110 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,52,47,LANGUAGE CENTER,[08:30-09:45 DAR 101 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,53,47,LANGUAGE CENTER,[08:30-09:45 DAR B113 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,57,47,LANGUAGE CENTER,[08:30-09:45 DAR 106 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,58,47,LANGUAGE CENTER,[13:00-14:15 DAR B101 Monday Wednesday],
1,10610014,BEGINNING ENGLISH,0,1,Bachelor,1,Lecture,60,47,LANGUAGE CENTER,[11:30-12:20 DAR B110 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,3,47,LANGUAGE CENTER,[08:30-09:20 DAR 132 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,4,47,LANGUAGE CENTER,[08:30-09:20 DAR B210 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,5,47,LANGUAGE CENTER,[11:30-12:20 DAR B101 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,6,47,LANGUAGE CENTER,[11:30-12:45 DAR B113 Monday Wednesday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,10,47,LANGUAGE CENTER,[10:30-11:20 DAR B103 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,11,47,LANGUAGE CENTER,[08:30-09:20 DAR B103 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,12,47,LANGUAGE CENTER,[09:30-10:20 DAR B103 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,15,47,LANGUAGE CENTER,[08:30-09:45 DAR 132 Monday Wednesday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,16,47,LANGUAGE CENTER,[08:30-09:20 DAR B101 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,19,47,LANGUAGE CENTER,[10:00-11:15 AFS 123 Monday Wednesday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,20,47,LANGUAGE CENTER,[10:00-11:15 DAR 132 Monday Wednesday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,23,47,LANGUAGE CENTER,[09:30-10:20 DAR 132 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,24,47,LANGUAGE CENTER,[11:30-12:20 DAR B103 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,25,47,LANGUAGE CENTER,[14:30-15:45 DAR B110 Monday Wednesday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,26,47,LANGUAGE CENTER,[09:30-10:20 DAR B109 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,27,47,LANGUAGE CENTER,[08:30-09:20 DAR B110 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,29,47,LANGUAGE CENTER,[14:30-15:20 DAR B102 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,30,47,LANGUAGE CENTER,[10:30-11:20 DAR B102 Sunday Tuesday Thursday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,31,47,LANGUAGE CENTER,[11:30-12:45 DAR 111 Monday Wednesday],
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,32,47,LANGUAGE CENTER,[13:30-14:20 DAR B101 Sunday Tuesday Thursday],
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,5,47,LANGUAGE CENTER,[13:30-14:25 DAR 108 Sunday Tuesday],
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,7,47,LANGUAGE CENTER,[14:30-15:25 DAR 111 Sunday Tuesday],
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,8,47,LANGUAGE CENTER,[14:30-15:25 DAR 107 Sunday Tuesday],
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,9,47,LANGUAGE CENTER,[09:30-10:25 DAR 111 Tuesday Thursday],
